age_sex_grp,p_inadequacy,nutr_no,intake_lower,intake_upper,oralcontraceptive_nonusers,oralcontraceptive_mixedpop
11,0.25,18,6.66,7.04,.,.
11,0.15,18,7.05,7.69,.,.
11,0.08,18,7.7,8.06,.,.
11,0.04,18,8.07,8.49,.,.
11,0,18,8.49,,.,.
12,1,18,,3.98,.,.
12,0.96,18,3.98,4.29,.,.
12,0.93,18,4.3,4.64,.,.
12,0.85,18,4.65,5.09,.,.
12,0.75,18,5.1,5.44,.,.
12,0.65,18,5.45,5.74,.,.
12,0.55,18,5.75,6.03,.,.
12,0.45,18,6.04,6.32,.,.
12,0.35,18,6.33,6.65,.,.
12,0.25,18,6.66,7.04,.,.
12,0.15,18,7.05,7.69,.,.
12,0.08,18,7.7,8.06,.,.
12,0.04,18,8.07,8.49,.,.
12,0,18,8.49,,.,.
13,1,18,,3.98,.,.
13,0.96,18,3.98,4.29,.,.
13,0.93,18,4.3,4.64,.,.
13,0.85,18,4.65,5.09,.,.
13,0.75,18,5.1,5.44,.,.
13,0.65,18,5.45,5.74,.,.
13,0.55,18,5.75,6.03,.,.
13,0.45,18,6.04,6.32,.,.
13,0.35,18,6.33,6.65,.,.
13,0.25,18,6.66,7.04,.,.
13,0.15,18,7.05,7.69,.,.
13,0.08,18,7.7,8.06,.,.
13,0.04,18,8.07,8.49,.,.
13,0,18,8.49,,.,.
15,1,18,,4.18,0,1
15,0.96,18,4.18,4.63,0,1
15,0.93,18,4.64,5.19,0,1
15,0.85,18,5.2,5.94,0,1
15,0.75,18,5.95,6.55,0,1
15,0.65,18,6.56,7.13,0,1
15,0.55,18,7.14,7.73,0,1
15,0.45,18,7.74,8.39,0,1
15,0.35,18,8.4,9.21,0,1
15,0.25,18,9.22,10.36,0,1
15,0.15,18,10.37,12.49,0,1
15,0.08,18,12.5,14.85,0,1
15,0.04,18,14.86,17.51,0,1
15,0,18,17.51,,0,1
16,1,18,,4.18,0,1
16,0.96,18,4.18,4.63,0,1
16,0.93,18,4.64,5.19,0,1
16,0.85,18,5.2,5.94,0,1
16,0.75,18,5.95,6.55,0,1
16,0.65,18,6.56,7.13,0,1
16,0.55,18,7.14,7.73,0,1
16,0.45,18,7.74,8.39,0,1
16,0.35,18,8.4,9.21,0,1
16,0.25,18,9.22,10.36,0,1
16,0.15,18,10.37,12.49,0,1
16,0.08,18,12.5,14.85,0,1
16,0.04,18,14.86,17.51,0,1
16,0,18,17.51,,0,1
17,1,18,,4.18,0,1
17,0.96,18,4.18,4.63,0,1
17,0.93,18,4.64,5.19,0,1
17,0.85,18,5.2,5.94,0,1
17,0.75,18,5.95,6.55,0,1
17,0.65,18,6.56,7.13,0,1
17,0.55,18,7.14,7.73,0,1
17,0.45,18,7.74,8.39,0,1
17,0.35,18,8.4,9.21,0,1
17,0.25,18,9.22,10.36,0,1
17,0.15,18,10.37,12.49,0,1
17,0.08,18,12.5,14.85,0,1
17,0.04,18,14.86,17.51,0,1
17,0,18,17.51,,0,1
17,1,18,,4.42,1,0
17,0.96,18,4.42,4.88,1,0
17,0.93,18,4.89,5.45,1,0
17,0.85,18,5.46,6.22,1,0
17,0.75,18,6.23,6.87,1,0
17,0.65,18,6.88,7.46,1,0
17,0.55,18,7.47,8.07,1,0
17,0.45,18,8.09,8.76,1,0
17,0.35,18,8.77,9.63,1,0
17,0.25,18,9.64,10.82,1,0
17,0.15,18,10.83,13.05,1,0
17,0.08,18,13.06,15.49,1,0
17,0.04,18,15.5,18.23,1,0
17,0,18,18.24,,1,0
23,1,18,,4.18,0,1
23,0.96,18,4.18,4.63,0,1
23,0.93,18,4.64,5.19,0,1
23,0.85,18,5.2,5.94,0,1
23,0.75,18,5.95,6.55,0,1
23,0.65,18,6.56,7.13,0,1
23,0.55,18,7.14,7.73,0,1
23,0.45,18,7.74,8.39,0,1
23,0.35,18,8.4,9.21,0,1
23,0.25,18,9.22,10.36,0,1
23,0.15,18,10.37,12.49,0,1
23,0.08,18,12.5,14.85,0,1
23,0.04,18,14.86,17.51,0,1
23,0,18,17.51,,0,1
23,1,18,,4.42,1,0
23,0.96,18,4.42,4.88,1,0
23,0.93,18,4.89,5.45,1,0
23,0.85,18,5.46,6.22,1,0
23,0.75,18,6.23,6.87,1,0
23,0.65,18,6.88,7.46,1,0
23,0.55,18,7.47,8.07,1,0
23,0.45,18,8.09,8.76,1,0
23,0.35,18,8.77,9.63,1,0
23,0.25,18,9.64,10.82,1,0
23,0.15,18,10.83,13.05,1,0
23,0.08,18,13.06,15.49,1,0
23,0.04,18,15.5,18.23,1,0
23,0,18,18.24,,1,0
24,1,18,,4.18,0,1
24,0.96,18,4.18,4.63,0,1
24,0.93,18,4.64,5.19,0,1
24,0.85,18,5.2,5.94,0,1
24,0.75,18,5.95,6.55,0,1
24,0.65,18,6.56,7.13,0,1
24,0.55,18,7.14,7.73,0,1
24,0.45,18,7.74,8.39,0,1
24,0.35,18,8.4,9.21,0,1
24,0.25,18,9.22,10.36,0,1
24,0.15,18,10.37,12.49,0,1
24,0.08,18,12.5,14.85,0,1
24,0.04,18,14.86,17.51,0,1
24,0,18,17.51,,0,1
24,1,18,,4.42,1,0
24,0.96,18,4.42,4.88,1,0
24,0.93,18,4.89,5.45,1,0
24,0.85,18,5.46,6.22,1,0
24,0.75,18,6.23,6.87,1,0
24,0.65,18,6.88,7.46,1,0
24,0.55,18,7.47,8.07,1,0
24,0.45,18,8.09,8.76,1,0
24,0.35,18,8.77,9.63,1,0
24,0.25,18,9.64,10.82,1,0
24,0.15,18,10.83,13.05,1,0
24,0.08,18,13.06,15.49,1,0
24,0.04,18,15.5,18.23,1,0
24,0,18,18.24,,1,0
25,1,18,,4.18,0,1
25,0.96,18,4.18,4.63,0,1
25,0.93,18,4.64,5.19,0,1
25,0.85,18,5.2,5.94,0,1
25,0.75,18,5.95,6.55,0,1
25,0.65,18,6.56,7.13,0,1
25,0.55,18,7.14,7.73,0,1
25,0.45,18,7.74,8.39,0,1
25,0.35,18,8.4,9.21,0,1
25,0.25,18,9.22,10.36,0,1
25,0.15,18,10.37,12.49,0,1
25,0.08,18,12.5,14.85,0,1
25,0.04,18,14.86,17.51,0,1
25,0,18,17.51,,0,1
25,1,18,,4.42,1,0
25,0.96,18,4.42,4.88,1,0
25,0.93,18,4.89,5.45,1,0
25,0.85,18,5.46,6.22,1,0
25,0.75,18,6.23,6.87,1,0
25,0.65,18,6.88,7.46,1,0
25,0.55,18,7.47,8.07,1,0
25,0.45,18,8.09,8.76,1,0
25,0.35,18,8.77,9.63,1,0
25,0.25,18,9.64,10.82,1,0
25,0.15,18,10.83,13.05,1,0
25,0.08,18,13.06,15.49,1,0
25,0.04,18,15.5,18.23,1,0
25,0,18,18.24,,1,0
18,1,18,,2.73,.,.
18,0.96,18,2.73,3.04,.,.
18,0.93,18,3.05,3.43,.,.
18,0.85,18,3.44,3.93,.,.
18,0.75,18,3.94,4.3,.,.
18,0.65,18,4.31,4.64,.,.
18,0.55,18,4.65,4.97,.,.
18,0.45,18,4.98,5.3,.,.
18,0.35,18,5.31,5.68,.,.
18,0.25,18,5.69,6.14,.,.
18,0.15,18,6.15,6.8,.,.
18,0.08,18,6.81,7.36,.,.
18,0.04,18,7.37,7.88,.,.
18,0,18,7.88,,.,.
19,1,18,,2.73,.,.
19,0.96,18,2.73,3.04,.,.
19,0.93,18,3.05,3.43,.,.
19,0.85,18,3.44,3.93,.,.
19,0.75,18,3.94,4.3,.,.
19,0.65,18,4.31,4.64,.,.
19,0.55,18,4.65,4.97,.,.
19,0.45,18,4.98,5.3,.,.
19,0.35,18,5.31,5.68,.,.
19,0.25,18,5.69,6.14,.,.
19,0.15,18,6.15,6.8,.,.
19,0.08,18,6.81,7.36,.,.
19,0.04,18,7.37,7.88,.,.
19,0,18,7.88,,.,.
